Entity,Code,Year,Wine | 00000564 || Production | 005510 || tonnes
Africa (FAO),,2005,1014905.75
Africa (FAO),,2006,1133390.2
Africa (FAO),,2007,1111513.5
Africa (FAO),,2008,1155480.6
Africa (FAO),,2009,1134927.6
Africa (FAO),,2010,1012998.6
Africa (FAO),,2011,1092766.6
Africa (FAO),,2012,1184514.9
Africa (FAO),,2013,1233290.9
Africa (FAO),,2014,1236674.6
Africa (FAO),,2015,1218245.9
Africa (FAO),,2016,1137166.6
Africa (FAO),,2017,1188136
Africa (FAO),,2018,1060210.9
Africa (FAO),,2019,1068264.5
Africa (FAO),,2020,1125270.8
Albania,ALB,1961,3560
Albania,ALB,1962,4570
Albania,ALB,1963,2291
Albania,ALB,1964,3069
Albania,ALB,1965,4016
Albania,ALB,1966,4767
Albania,ALB,1967,6174
Albania,ALB,1968,7190
Albania,ALB,1969,10120
Albania,ALB,1970,11300
Albania,ALB,1971,9000
Albania,ALB,1972,13000
Albania,ALB,1973,12000
Albania,ALB,1974,15000
Albania,ALB,1975,13000
Albania,ALB,1976,13500
Albania,ALB,1977,15000
Albania,ALB,1978,18000
Albania,ALB,1979,17000
Albania,ALB,1980,21000
Albania,ALB,1981,22900
Albania,ALB,1982,21000
Albania,ALB,1983,23500
Albania,ALB,1984,23000
Albania,ALB,1985,22700
Albania,ALB,1986,19000
Albania,ALB,1987,22000
Albania,ALB,1988,25300
Albania,ALB,1989,25600
Albania,ALB,1990,35000
Albania,ALB,1991,11200
Albania,ALB,1992,11800
Albania,ALB,1993,8906
Albania,ALB,1994,9640
Albania,ALB,1995,16922
Albania,ALB,1996,29285
Albania,ALB,1997,16777
Albania,ALB,1998,10503
Albania,ALB,1999,12708
Albania,ALB,2000,7413
Albania,ALB,2001,14228
Albania,ALB,2002,6625
Albania,ALB,2003,9164
Albania,ALB,2004,14024
Albania,ALB,2005,17144
Albania,ALB,2006,17000
Albania,ALB,2007,17830
Albania,ALB,2008,16120
Albania,ALB,2009,17500
Albania,ALB,2010,18100
Albania,ALB,2011,18000
Albania,ALB,2012,19000
Albania,ALB,2013,18000
Albania,ALB,2014,17500
Albania,ALB,2015,16400
Albania,ALB,2016,17800
Albania,ALB,2017,16868.12
Albania,ALB,2018,15289.88
Albania,ALB,2019,2396.37
Albania,ALB,2020,2750.14
Algeria,DZA,1961,1363194
Algeria,DZA,1962,1500000
Algeria,DZA,1963,1257523
Algeria,DZA,1964,1047703
Algeria,DZA,1965,1402600
Algeria,DZA,1966,682229
Algeria,DZA,1967,644607
Algeria,DZA,1968,995000
Algeria,DZA,1969,871050
Algeria,DZA,1970,869200
Algeria,DZA,1971,924700
Algeria,DZA,1972,575338
Algeria,DZA,1973,590984
Algeria,DZA,1974,628172
Algeria,DZA,1975,431900
Algeria,DZA,1976,378273
Algeria,DZA,1977,254876
Algeria,DZA,1978,184000
Algeria,DZA,1979,270976
Algeria,DZA,1980,283751
Algeria,DZA,1981,266888
Algeria,DZA,1982,151400
Algeria,DZA,1983,187567
Algeria,DZA,1984,139380
Algeria,DZA,1985,93810
Algeria,DZA,1986,90630
Algeria,DZA,1987,91780
Algeria,DZA,1988,62100
Algeria,DZA,1989,50373
Algeria,DZA,1990,48500
Algeria,DZA,1991,46000
Algeria,DZA,1992,40957
Algeria,DZA,1993,65000
Algeria,DZA,1994,50000
Algeria,DZA,1995,57100
Algeria,DZA,1996,39200
Algeria,DZA,1997,35700
Algeria,DZA,1998,36000
Algeria,DZA,1999,42156
Algeria,DZA,2000,42362
Algeria,DZA,2001,42000
Algeria,DZA,2002,50000
Algeria,DZA,2003,60000
Algeria,DZA,2004,85000
Algeria,DZA,2005,90000
Algeria,DZA,2006,105000
Algeria,DZA,2007,52000
Algeria,DZA,2008,50000
Algeria,DZA,2009,58840
Algeria,DZA,2010,9094.3
Algeria,DZA,2011,48000
Algeria,DZA,2012,49200
Algeria,DZA,2013,49800
Algeria,DZA,2014,12597.07
Algeria,DZA,2015,9563.01
Algeria,DZA,2016,6594.01
Algeria,DZA,2017,22733.19
Algeria,DZA,2018,19251.34
Americas (FAO),,1961,3098567.2
Americas (FAO),,1962,3444402.5
Americas (FAO),,1963,3546367.8
Americas (FAO),,1964,3422187.8
Americas (FAO),,1965,3383217.8
Americas (FAO),,1966,3697672.8
Americas (FAO),,1967,4458316.5
Americas (FAO),,1968,3660176
Americas (FAO),,1969,3547607
Americas (FAO),,1970,3613366.5
Americas (FAO),,1971,4497198.5
Americas (FAO),,1972,4266657.5
Americas (FAO),,1973,4878196
Americas (FAO),,1974,5083095
Americas (FAO),,1975,4579643.5
Americas (FAO),,1976,5247470.5
Americas (FAO),,1977,4974133
Americas (FAO),,1978,4771093.5
Americas (FAO),,1979,5391984.5
Americas (FAO),,1980,5227820
Americas (FAO),,1981,5086446.5
Americas (FAO),,1982,5786723.5
Americas (FAO),,1983,5002626.5
Americas (FAO),,1984,4527439.5
Americas (FAO),,1985,4456485.5
Americas (FAO),,1986,4738469
Americas (FAO),,1987,5442306
Americas (FAO),,1988,5217626
Americas (FAO),,1989,4836879
Americas (FAO),,1990,4257062.5
Americas (FAO),,1991,4083341.8
Americas (FAO),,1992,3945645.2
Americas (FAO),,1993,4355885
Americas (FAO),,1994,4555103
Americas (FAO),,1995,4429359.5
Americas (FAO),,1996,4053439
Americas (FAO),,1997,5009565.5
Americas (FAO),,1998,4384546
Americas (FAO),,1999,4798070.5
Americas (FAO),,2000,5001803
Americas (FAO),,2001,5172960.5
Americas (FAO),,2002,4708604.5
Americas (FAO),,2003,4958631
Americas (FAO),,2004,5339899.5
Americas (FAO),,2005,5755926.5
Americas (FAO),,2006,5220708
Americas (FAO),,2007,5422033.5
Americas (FAO),,2008,5505993.5
Americas (FAO),,2009,5438616
Americas (FAO),,2010,5691998
Americas (FAO),,2011,5842715.5
Americas (FAO),,2012,6004005
Americas (FAO),,2013,6552080
Americas (FAO),,2014,6340224.5
Americas (FAO),,2015,6426681
Americas (FAO),,2016,5092792.5
Americas (FAO),,2017,4946993.5
Americas (FAO),,2018,5804619.5
Americas (FAO),,2019,5777666.5
Americas (FAO),,2020,4608871
Argentina,ARG,1961,1675000
Argentina,ARG,1962,1917200
Argentina,ARG,1963,2074400
Argentina,ARG,1964,1953300
Argentina,ARG,1965,1827100
Argentina,ARG,1966,2191700
Argentina,ARG,1967,2817100
Argentina,ARG,1968,1951300
Argentina,ARG,1969,1791600
Argentina,ARG,1970,1835975
Argentina,ARG,1971,2178317
Argentina,ARG,1972,1998649
Argentina,ARG,1973,2256700
Argentina,ARG,1974,2718321
Argentina,ARG,1975,2210306
Argentina,ARG,1976,2819747
Argentina,ARG,1977,2331870
Argentina,ARG,1978,2026665
Argentina,ARG,1979,2634705
Argentina,ARG,1980,2348998
Argentina,ARG,1981,2179881
Argentina,ARG,1982,2518070
Argentina,ARG,1983,2471916
Argentina,ARG,1984,1880833
Argentina,ARG,1985,1574083
Argentina,ARG,1986,1857060
Argentina,ARG,1987,2601780
Argentina,ARG,1988,2062947
Argentina,ARG,1989,2031751
Argentina,ARG,1990,1403630
Argentina,ARG,1991,1450027
Argentina,ARG,1992,1435007
Argentina,ARG,1993,1447084
Argentina,ARG,1994,1817290
Argentina,ARG,1995,1644300
Argentina,ARG,1996,1268100
Argentina,ARG,1997,1350030
Argentina,ARG,1998,1267338
Argentina,ARG,1999,1588770
Argentina,ARG,2000,1253700
Argentina,ARG,2001,1583500
Argentina,ARG,2002,1269500
Argentina,ARG,2003,1322500
Argentina,ARG,2004,1546400
Argentina,ARG,2005,1522200
Argentina,ARG,2006,1539600
Argentina,ARG,2007,1504600
Argentina,ARG,2008,1467642
Argentina,ARG,2009,1213547
Argentina,ARG,2010,1608826
Argentina,ARG,2011,1531790.9
Argentina,ARG,2012,1166024.8
Argentina,ARG,2013,1498380
Argentina,ARG,2014,1519745
Argentina,ARG,2015,1336196
Argentina,ARG,2016,944650
Argentina,ARG,2017,1182111
Argentina,ARG,2018,1452151
Argentina,ARG,2019,1301947
Argentina,ARG,2020,1079615
Armenia,ARM,1992,25760
Armenia,ARM,1993,27350
Armenia,ARM,1994,23580
Armenia,ARM,1995,10400
Armenia,ARM,1996,7800
Armenia,ARM,1997,4890
Armenia,ARM,1998,2380
Armenia,ARM,1999,5640
Armenia,ARM,2000,4220
Armenia,ARM,2001,6970
Armenia,ARM,2002,4630
Armenia,ARM,2003,2716
Armenia,ARM,2004,6793
Armenia,ARM,2005,7305
Armenia,ARM,2006,4374
Armenia,ARM,2007,4250
Armenia,ARM,2008,3807
Armenia,ARM,2009,4713
Armenia,ARM,2010,5865
Armenia,ARM,2011,6192
Armenia,ARM,2012,5808
Armenia,ARM,2013,6422
Armenia,ARM,2014,6174
Armenia,ARM,2015,5932
Armenia,ARM,2016,6810
Armenia,ARM,2017,8852.5
Armenia,ARM,2018,9671.9
Armenia,ARM,2019,12750.2
Armenia,ARM,2020,11013.8
Asia,,1961,54690
Asia,,1962,62449
Asia,,1963,65623
Asia,,1964,62023
Asia,,1965,75152
Asia,,1966,71274
Asia,,1967,75787
Asia,,1968,80039
Asia,,1969,82782
Asia,,1970,75354
Asia,,1971,75598
Asia,,1972,76218
Asia,,1973,79424
Asia,,1974,71410
Asia,,1975,68105
Asia,,1976,66234
Asia,,1977,80782
Asia,,1978,113672
Asia,,1979,117634
Asia,,1980,164181
Asia,,1981,191895
Asia,,1982,215715
Asia,,1983,224003
Asia,,1984,247451
Asia,,1985,327382
Asia,,1986,342599
Asia,,1987,383667
Asia,,1988,418974
Asia,,1989,376637
Asia,,1990,360792
Asia,,1991,408701
Asia,,1992,997672
Asia,,1993,956780
Asia,,1994,1058728
Asia,,1995,1095393
Asia,,1996,1064529
Asia,,1997,1301138
Asia,,1998,1454783
Asia,,1999,1385357
Asia,,2000,1391112
Asia,,2001,1416211
Asia,,2002,1452542
Asia,,2003,1521998
Asia,,2004,1603197
Asia,,2005,1685643
Asia,,2006,1720363
Asia,,2007,1753030
Asia,,2008,1792300
Asia,,2009,1861257.2
Asia,,2010,1928327.6
Asia,,2011,1949400.4
Asia,,2012,1978791.4
Asia,,2013,2047748.1
Asia,,2014,2082151
Asia,,2015,2259214.5
Asia,,2016,2189906.8
Asia,,2017,2229963.8
Asia,,2018,2372166.2
Asia,,2019,2484432
Asia,,2020,2356284.8
Asia (FAO),,1961,88257
Asia (FAO),,1962,94566
Asia (FAO),,1963,79484
Asia (FAO),,1964,85435
Asia (FAO),,1965,105878
Asia (FAO),,1966,106714
Asia (FAO),,1967,117655
Asia (FAO),,1968,123635
Asia (FAO),,1969,127423
Asia (FAO),,1970,115222
Asia (FAO),,1971,125058
Asia (FAO),,1972,127701
Asia (FAO),,1973,110240
Asia (FAO),,1974,128916
Asia (FAO),,1975,117302
Asia (FAO),,1976,113576
Asia (FAO),,1977,126739
Asia (FAO),,1978,170172
Asia (FAO),,1979,177034
Asia (FAO),,1980,224181
Asia (FAO),,1981,233495
Asia (FAO),,1982,264015
Asia (FAO),,1983,269003
Asia (FAO),,1984,291651
Asia (FAO),,1985,366082
Asia (FAO),,1986,409099
Asia (FAO),,1987,455667
Asia (FAO),,1988,503974
Asia (FAO),,1989,470237
Asia (FAO),,1990,420792
Asia (FAO),,1991,450201
Asia (FAO),,1992,1062172
Asia (FAO),,1993,1041780
Asia (FAO),,1994,1107228
Asia (FAO),,1995,1150893
Asia (FAO),,1996,1120429
Asia (FAO),,1997,1354538
Asia (FAO),,1998,1525783
Asia (FAO),,1999,1440857
Asia (FAO),,2000,1448112
Asia (FAO),,2001,1466511
Asia (FAO),,2002,1476542
Asia (FAO),,2003,1560498
Asia (FAO),,2004,1630436
Asia (FAO),,2005,1714528
Asia (FAO),,2006,1746449
Asia (FAO),,2007,1772114
Asia (FAO),,2008,1807997
Asia (FAO),,2009,1873495.2
Asia (FAO),,2010,1939250.6
Asia (FAO),,2011,1963476.4
Asia (FAO),,2012,1989543.4
Asia (FAO),,2013,2059180.1
Asia (FAO),,2014,2093108.9
Asia (FAO),,2015,2268159.2
Asia (FAO),,2016,2197806.8
Asia (FAO),,2017,2238063.8
Asia (FAO),,2018,2383166.2
Asia (FAO),,2019,2495332
Asia (FAO),,2020,2366284.8
Australia,AUS,1961,153481
Australia,AUS,1962,189732
Australia,AUS,1963,135894
Australia,AUS,1964,170639
Australia,AUS,1965,176900
Australia,AUS,1966,155132
Australia,AUS,1967,188723
Australia,AUS,1968,201074
Australia,AUS,1969,235372
Australia,AUS,1970,286900
Australia,AUS,1971,254965
Australia,AUS,1972,290239
Australia,AUS,1973,279943
Australia,AUS,1974,294700
Australia,AUS,1975,361177
Australia,AUS,1976,356245
Australia,AUS,1977,383058
Australia,AUS,1978,339577
Australia,AUS,1979,335092
Australia,AUS,1980,414237
Australia,AUS,1981,374273
Australia,AUS,1982,402700
Australia,AUS,1983,340100
Australia,AUS,1984,396244
Australia,AUS,1985,451211
Australia,AUS,1986,389200
Australia,AUS,1987,401060
Australia,AUS,1988,407772
Australia,AUS,1989,499933
Australia,AUS,1990,444584
Australia,AUS,1991,394289
Australia,AUS,1992,458501
Australia,AUS,1993,461836
Australia,AUS,1994,587377
Australia,AUS,1995,502796
Australia,AUS,1996,673445
Australia,AUS,1997,617379
Australia,AUS,1998,741547
Australia,AUS,1999,851143
Australia,AUS,2000,806300
Australia,AUS,2001,1016300
Australia,AUS,2002,1150900
Australia,AUS,2003,1085985
Australia,AUS,2004,1471228
Australia,AUS,2005,1433827
Australia,AUS,2006,1429788
Australia,AUS,2007,961972
Australia,AUS,2008,1244780
Australia,AUS,2009,1182624
Australia,AUS,2010,1142297
Australia,AUS,2011,1117836
Australia,AUS,2012,1225919
Australia,AUS,2013,1231012
Australia,AUS,2014,1186343
Australia,AUS,2015,1191193
Australia,AUS,2016,1299000
Australia,AUS,2017,1369000
Australia,AUS,2018,1285000
Australia,AUS,2019,1197000
Australia,AUS,2020,1107000
Austria,AUT,1961,119500
Austria,AUT,1962,90600
Austria,AUT,1963,164400
Austria,AUT,1964,284017
Austria,AUT,1965,138737
Austria,AUT,1966,145359
Austria,AUT,1967,259438
Austria,AUT,1968,247724
Austria,AUT,1969,226528
Austria,AUT,1970,309613
Austria,AUT,1971,181279
Austria,AUT,1972,259562
Austria,AUT,1973,240431
Austria,AUT,1974,166492
Austria,AUT,1975,270447
Austria,AUT,1976,290104
Austria,AUT,1977,259402
Austria,AUT,1978,336628
Austria,AUT,1979,277301
Austria,AUT,1980,308642
Austria,AUT,1981,208517
Austria,AUT,1982,490565
Austria,AUT,1983,369793
Austria,AUT,1984,251892
Austria,AUT,1985,112566
Austria,AUT,1986,222985
Austria,AUT,1987,218362
Austria,AUT,1988,350246
Austria,AUT,1989,258086
Austria,AUT,1990,316629
Austria,AUT,1991,309326
Austria,AUT,1992,258822
Austria,AUT,1993,186548
Austria,AUT,1994,264664
Austria,AUT,1995,222897
Austria,AUT,1996,211033
Austria,AUT,1997,180193
Austria,AUT,1998,270317
Austria,AUT,1999,280338
Austria,AUT,2000,233841
Austria,AUT,2001,253058
Austria,AUT,2002,259908
Austria,AUT,2003,252989
Austria,AUT,2004,273456
Austria,AUT,2005,226402
Austria,AUT,2006,225630
Austria,AUT,2007,262803
Austria,AUT,2008,299372
Austria,AUT,2009,235188
Austria,AUT,2010,173745
Austria,AUT,2011,281476
Austria,AUT,2012,215475
Austria,AUT,2013,239195
Austria,AUT,2014,199869
Austria,AUT,2015,226840
Austria,AUT,2016,195253
Austria,AUT,2017,248570.88
Austria,AUT,2018,275300
Austria,AUT,2019,232400
Austria,AUT,2020,239800
Azerbaijan,AZE,1992,67000
Azerbaijan,AZE,1993,31000
Azerbaijan,AZE,1994,13000
Azerbaijan,AZE,1995,7080
Azerbaijan,AZE,1996,2900
Azerbaijan,AZE,1997,34700
Azerbaijan,AZE,1998,14660
Azerbaijan,AZE,1999,4704
Azerbaijan,AZE,2000,7736
Azerbaijan,AZE,2001,7576
Azerbaijan,AZE,2002,5719
Azerbaijan,AZE,2003,3790
Azerbaijan,AZE,2004,3092
Azerbaijan,AZE,2005,4378
Azerbaijan,AZE,2006,5195
Azerbaijan,AZE,2007,6368
Azerbaijan,AZE,2008,8169
Azerbaijan,AZE,2009,6949
Azerbaijan,AZE,2010,11697
Azerbaijan,AZE,2011,7547
Azerbaijan,AZE,2012,10630
Azerbaijan,AZE,2013,8355
Azerbaijan,AZE,2014,10030
Azerbaijan,AZE,2015,10350
Azerbaijan,AZE,2016,10493
Azerbaijan,AZE,2017,11305
Azerbaijan,AZE,2018,15743
Azerbaijan,AZE,2019,8773
Azerbaijan,AZE,2020,8950
Belarus,BLR,1992,5988
Belarus,BLR,1993,6174
Belarus,BLR,1994,6726
Belarus,BLR,1995,10210
Belarus,BLR,1996,18660
Belarus,BLR,1997,20040
Belarus,BLR,1998,18980
Belarus,BLR,1999,7000
Belarus,BLR,2000,7794
Belarus,BLR,2001,9894
Belarus,BLR,2002,14850
Belarus,BLR,2003,11730
Belarus,BLR,2004,15990
Belarus,BLR,2005,15720
Belarus,BLR,2006,12390
Belarus,BLR,2007,20020
Belarus,BLR,2008,25730
Belarus,BLR,2009,20990
Belarus,BLR,2010,25110
Belarus,BLR,2011,26790
Belarus,BLR,2012,27160
Belarus,BLR,2013,28150
Belarus,BLR,2014,29980
Belarus,BLR,2015,28740
Belarus,BLR,2016,27430
Belarus,BLR,2017,30990
Belarus,BLR,2018,31950
Belarus,BLR,2019,33970
Belarus,BLR,2020,30360
Belgium,BEL,2000,2000
Belgium,BEL,2001,2000
Belgium,BEL,2002,2000
Belgium,BEL,2003,2000
Belgium,BEL,2004,2000
Belgium,BEL,2005,4000
Belgium,BEL,2006,3000
Belgium,BEL,2007,3000
Belgium,BEL,2008,3000
Belgium,BEL,2009,3000
Belgium,BEL,2010,3000
Belgium,BEL,2011,4700
Belgium,BEL,2012,2864
Belgium,BEL,2013,2900
Belgium,BEL,2014,17721
Belgium,BEL,2015,18061
Belgium,BEL,2016,18492
Belgium,BEL,2017,18424
Belgium,BEL,2018,18113.36
Belgium-Luxembourg (FAO),,1961,12086
Belgium-Luxembourg (FAO),,1962,13107
Belgium-Luxembourg (FAO),,1963,16139
Belgium-Luxembourg (FAO),,1964,16793
Belgium-Luxembourg (FAO),,1965,11799
Belgium-Luxembourg (FAO),,1966,13572
Belgium-Luxembourg (FAO),,1967,13079
Belgium-Luxembourg (FAO),,1968,12423
Belgium-Luxembourg (FAO),,1969,13147
Belgium-Luxembourg (FAO),,1970,24735
Belgium-Luxembourg (FAO),,1971,11450
Belgium-Luxembourg (FAO),,1972,15000
Belgium-Luxembourg (FAO),,1973,19600
Belgium-Luxembourg (FAO),,1974,14300
Belgium-Luxembourg (FAO),,1975,16509
Belgium-Luxembourg (FAO),,1976,13200
Belgium-Luxembourg (FAO),,1977,16140
Belgium-Luxembourg (FAO),,1978,7809
Belgium-Luxembourg (FAO),,1979,6767
Belgium-Luxembourg (FAO),,1980,5688
Belgium-Luxembourg (FAO),,1981,10274
Belgium-Luxembourg (FAO),,1982,26179
Belgium-Luxembourg (FAO),,1983,18926
Belgium-Luxembourg (FAO),,1984,15647
Belgium-Luxembourg (FAO),,1985,11104
Belgium-Luxembourg (FAO),,1986,16376
Belgium-Luxembourg (FAO),,1987,14644
Belgium-Luxembourg (FAO),,1988,14673
Belgium-Luxembourg (FAO),,1989,23647
Belgium-Luxembourg (FAO),,1990,15477
Belgium-Luxembourg (FAO),,1991,8969
Belgium-Luxembourg (FAO),,1992,27778
Belgium-Luxembourg (FAO),,1993,17282
Belgium-Luxembourg (FAO),,1994,17557
Belgium-Luxembourg (FAO),,1995,15065
Belgium-Luxembourg (FAO),,1996,12762
Belgium-Luxembourg (FAO),,1997,7471
Belgium-Luxembourg (FAO),,1998,15971
Belgium-Luxembourg (FAO),,1999,18428
Bolivia,BOL,1961,640
Bolivia,BOL,1962,640
Bolivia,BOL,1963,640
Bolivia,BOL,1964,640
Bolivia,BOL,1965,640
Bolivia,BOL,1966,640
Bolivia,BOL,1967,640
Bolivia,BOL,1968,640
Bolivia,BOL,1969,640
Bolivia,BOL,1970,640
Bolivia,BOL,1971,640
Bolivia,BOL,1972,960
Bolivia,BOL,1973,1152
Bolivia,BOL,1974,1280
Bolivia,BOL,1975,1408
Bolivia,BOL,1976,1600
Bolivia,BOL,1977,1600
Bolivia,BOL,1978,1984
Bolivia,BOL,1979,1984
Bolivia,BOL,1980,1984
Bolivia,BOL,1981,1984
Bolivia,BOL,1982,2048
Bolivia,BOL,1983,2048
Bolivia,BOL,1984,2048
Bolivia,BOL,1985,2048
Bolivia,BOL,1986,2048
Bolivia,BOL,1987,2048
Bolivia,BOL,1988,2048
Bolivia,BOL,1989,2048
Bolivia,BOL,1990,2048
Bolivia,BOL,1991,2048
Bolivia,BOL,1992,2048
Bolivia,BOL,1993,2048
Bolivia,BOL,1994,2048
Bolivia,BOL,1995,2048
Bolivia,BOL,1996,2048
Bolivia,BOL,1997,2048
Bolivia,BOL,1998,2048
Bolivia,BOL,1999,2048
Bolivia,BOL,2000,2048
Bolivia,BOL,2001,2048
Bolivia,BOL,2002,2048
Bolivia,BOL,2003,4434
Bolivia,BOL,2004,7120
Bolivia,BOL,2005,7223
Bolivia,BOL,2006,7328
Bolivia,BOL,2007,7350
Bolivia,BOL,2008,7747
Bolivia,BOL,2009,6979
Bolivia,BOL,2010,7423.02
Bolivia,BOL,2011,7418.67
Bolivia,BOL,2012,7977.4
Bolivia,BOL,2013,8346.86
Bolivia,BOL,2014,5452
Bolivia,BOL,2015,8262.28
Bolivia,BOL,2016,8334.99
Bolivia,BOL,2017,8376.01
Bolivia,BOL,2018,6736.7
Bolivia,BOL,2019,8400
Bolivia,BOL,2020,8400
Bosnia and Herzegovina,BIH,1992,14000
Bosnia and Herzegovina,BIH,1993,7900
Bosnia and Herzegovina,BIH,1994,3500
Bosnia and Herzegovina,BIH,1995,3400
Bosnia and Herzegovina,BIH,1996,4697
Bosnia and Herzegovina,BIH,1997,5300
Bosnia and Herzegovina,BIH,1998,6944
Bosnia and Herzegovina,BIH,1999,5800
Bosnia and Herzegovina,BIH,2000,4769
Bosnia and Herzegovina,BIH,2001,5284
Bosnia and Herzegovina,BIH,2002,4190
Bosnia and Herzegovina,BIH,2003,9125
Bosnia and Herzegovina,BIH,2004,6045
Bosnia and Herzegovina,BIH,2005,5042
Bosnia and Herzegovina,BIH,2006,2695
Bosnia and Herzegovina,BIH,2007,4558
Bosnia and Herzegovina,BIH,2008,4590.52
Bosnia and Herzegovina,BIH,2009,3655
Bosnia and Herzegovina,BIH,2010,4504
Bosnia and Herzegovina,BIH,2011,3354
Bosnia and Herzegovina,BIH,2012,3061
Bosnia and Herzegovina,BIH,2013,4163
Bosnia and Herzegovina,BIH,2014,7524
Bosnia and Herzegovina,BIH,2015,5369
Bosnia and Herzegovina,BIH,2016,4579.21
Bosnia and Herzegovina,BIH,2017,5545.67
Bosnia and Herzegovina,BIH,2018,6046.06
Bosnia and Herzegovina,BIH,2019,6013.1
Bosnia and Herzegovina,BIH,2020,6908.92
Brazil,BRA,1961,158000
Brazil,BRA,1962,139000
Brazil,BRA,1963,118000
Brazil,BRA,1964,99905
Brazil,BRA,1965,192800
Brazil,BRA,1966,126200
Brazil,BRA,1967,196000
Brazil,BRA,1968,198800
Brazil,BRA,1969,158000
Brazil,BRA,1970,190000
Brazil,BRA,1971,190000
Brazil,BRA,1972,230000
Brazil,BRA,1973,236200
Brazil,BRA,1974,203600
Brazil,BRA,1975,203600
Brazil,BRA,1976,219500
Brazil,BRA,1977,264100
Brazil,BRA,1978,285000
Brazil,BRA,1979,285000
Brazil,BRA,1980,199602
Brazil,BRA,1981,288008
Brazil,BRA,1982,329715
Brazil,BRA,1983,188193
Brazil,BRA,1984,243301
Brazil,BRA,1985,366342
Brazil,BRA,1986,225370
Brazil,BRA,1987,218143
Brazil,BRA,1988,348583
Brazil,BRA,1989,273542
Brazil,BRA,1990,310832
Brazil,BRA,1991,305548
Brazil,BRA,1992,358378
Brazil,BRA,1993,268923
Brazil,BRA,1994,301977
Brazil,BRA,1995,312832
Brazil,BRA,1996,232017
Brazil,BRA,1997,274320
Brazil,BRA,1998,218189
Brazil,BRA,1999,319029
Brazil,BRA,2000,300000
Brazil,BRA,2001,296800
Brazil,BRA,2002,312200
Brazil,BRA,2003,262000
Brazil,BRA,2004,392500
Brazil,BRA,2005,319900
Brazil,BRA,2006,237200
Brazil,BRA,2007,350200
Brazil,BRA,2008,368300
Brazil,BRA,2009,272000
Brazil,BRA,2010,245900
Brazil,BRA,2011,346000
Brazil,BRA,2012,296700
Brazil,BRA,2013,273100
